CRS_CODE,CRS_NAME
TPGENGSMEL01,Grad Dip Modern English Language
TPGEPDSACA01,Grad Dip Academic Practice
TPGEPDSALP01,Grad Dip Adult Learning & Professional Development
TPGEPDSHER01,Grad Dip Higher Education Research and Development
TPGEURSCUL01,Grad Dip European Culture
TPGEURSSTY01,Grad Dip European Society
TPGEURSTHG01,Grad Dip European Thought
TPGFINSING01,Grad Dip Fine Art
TPGGEMSGED01,Grad Dip Geodesy
TPGGEMSHYD01,Grad Dip Hydrographic Surveying
TPGGEMSSVY01,Grad Dip Surveying
TPGGEMSREM01,Grad Dip Remote Sensing
TPGGERSHIS01,Grad Dip German History
TPGGERSSTU01,Grad Dip German Studies
TPGGISSING01,Grad Dip Geographic Information Science
TPGHCISERG01,Grad Dip Human-Computer Interaction w Ergonomics
TPGHCISERG06,Grad Dip Human-Computer Interaction w Ergonomics
TPGHISSMOD01,Grad Dip Modern History
TPGHYPSAPP01,Grad Dip Applied Hypnosis
TMAEPDSHER01,MA Higher Education Research and Development
TMAEPDSLTR01,MA Learning Technology Research
TMAEURSCUL01,MA European Culture
TMAEURSSTY01,MA European Society
TMAEURSTHG01,MA European Thought
TMAFILSING01,MA Film Studies
TMAFINSING01,MA Fine Art
TMAGERSHIS01,MA German History
TMAGERSING01,MA German
TMAGERSSTU01,MA German Studies
TMAPOLSHUR01,MA Human Rights
TMARUSSEEL01,MA Russian & East European Literature & Culture
TMARUSSING01,MA Russian Studies
TMASCASALT01,MA Advanced Scandinavian Lit & Translation Studs
TMASCASING01,MA Scandinavian Studies
TMASHSSRMH01,MA Research Methods for the Humanities
TMASOCSEER01,MA Social Dynamics of Eastern Europe and Russia
TMASOCSNAT01,MA Nationalism and Identity
TMATRLSING01,MA Translation Theory and Practice
TMCEDISEND01,MClinDent Endodontology
TMCEDISPER01,MClinDent Periodontology
TMCEDISPRO01,MClinDent Prosthodontics
TMFFINSING01,MFA Fine Art
TMLLAWSING01,LLM Law
TMRAISSING01,MRes Advanced Instrumentation Systems
TMRANTSING01,MRes Anthropology
TMRCMPSMBC01,MRes Modelling Biological Complexity
TMRCOMSVIG01,"MRes Comp Vision, Image Processing, G & S"
TMAGNDSRES01,MA Gender Studies (Research Pathway)
TMAHARSING01,MA History of Art
TMAHEBSHOL01,MA Holocaust Studies
TMAHISSANT01,MA History and Anthropology
TMAHISSMOD01,MA Modern History
TMAHMESING01,MA History of Medicine
TMAHSESING01,MA History
TMAITASCCH01,MA Contemporary Italian Culture and History
TMAITASROM01,MA Romance Languages and Literatures
TMAITASRRM01,MA Renaissance Studies and Research Methods
TMALIBSING01,MA Library and Information Studies
TMALINSING01,MA Linguistics
TMAMDVSSTU01,MA Medieval Studies
TMAPHISING01,MA Philosophy
TMAPHOSPHN01,MA Phonology
TMAPHOSPRA01,MA Pragmatics
TMAPHOSSYN01,MA Syntax
TMAPOLSREE01,MA Political Econ of Russia & Eastern Europe
TMAPOLSSIN01,"MA Politics, Security and Integration"
TAFINFSSCI01,Affil - Cat 1 Information Science
TCEPSYSSTR01,Coll Cert Stress Management
TCEPOLSFOI01,Coll Cert Freedom of Information & Data Protection
TCERAMSING01,Coll Cert Records and Archives Management (Int)
TAFSTASING01,Affil - Cat 1 Statistics
TAFTRNSING01,Affil - Cat 1 Transport
TAFURLSING01,Affil - Cat 1 Urology
TCEBIPSBTR01,Coll Cert Biotransformation Bioprocessing
TCEBIPSFER01,Coll Cert Fermentation Bioprocessing
TCEBLTSING01,Coll Cert Built Environment
TCECHISHIN01,Coll Cert Health Informatics
TCECHISRSK01,Coll Cert Risk Management
TCECRISDET01,Coll Cert Crime Detection
TCECRISPCS01,Coll Cert Crime Prevention and Community Safety
TCEDEFSING01,Coll Cert Defence Systems Engineering
TCEDEVSING01,Coll Cert Development and Planning
TCEDEVSURG01,Coll Cert Development and Planning: Urban Regen
TCEEARSNHI01,Coll Cert Natural Hazards for Insurers
TCEECPSING01,Coll Cert Electronic Communication and Publishing
TCEEPDSACA01,Coll Cert Academic Practice
TCEEPDSALP01,Coll Cert Adult Learning & Professional Devel
TCEGEOSCON01,Coll Cert Conservation
TCEICHSCDS01,Coll Cert Community Disability Studies
TCEICHSICH01,Coll Cert International Child Health
TCEICHSINH01,Euro Coll Cert International Health
TCEICHSMCH01,Coll Cert Mother and Child Health
TCEIFCSTHM01,Coll Cert Travel Health and Medicine
TCEIMMSMMD01,Coll Cert Molecular Medicine
TCEMEDSEDU01,Coll Cert Medical Education
TCEPETSING01,Coll Cert Petroleum Technology
TCEPHHSCAR01,Coll Cert Advanced Cardiorespiratory Physiotherapy
TCEPRISHEA01,Coll Cert Primary Health Care
TCEPRISRMP01,Coll Cert Research Methods for Primary Care
TMAANTSAVC01,MA Anthropology of Art and Visual Culture
TMAANTSMUS01,MA Museum Anthropology
TMAARLSAFR01,MA African Archaeology
TMAARLSART01,MA Artefact Studies
TAFLIBSING01,Affil - Cat 1 Library and Information Studies
TAFLINSING01,Affil - Cat 1 Linguistics
TAFMECSING01,Affil - Cat 1 Mechanical Engineering
TAFMICSING01,Affil - Cat 1 Microbiology
TAFORTSING01,Affil - Cat 1 Orthopaedics
TAFPHASING01,Affil - Cat 1 Pharmacology
TAFPHISING01,Affil - Cat 1 Philosophy
TAFPHLSING01,Affil - Cat 1 Physiology
TAFPHOSING01,Affil - Cat 1 Phonetics
TAFPHTAREM01,Affil - Cat 1 Photogrammetry and Surveying
TAFPHTSING01,Affil - Cat 1 Photogrammetry
TAFPHYSING01,Affil - Cat 1 Physics
TAFRPHSING01,Affil - Cat 1 Radiation Physics
TAFRUSSING01,Affil - Cat 1 Russian Studies
TAFSCASING01,Affil - Cat 1 Scandinavian Studies
TMAARLSCAA01,MA Comparative Art and Archaeology
TMAARLSFAT01,MA Field & Analytical Techniques in Archaeology
TMAARLSING01,MA Archaeology
TMAARLSLON01,MA Archaeology of London
TMAARLSMAR01,MA Maritime Archaeology
TMRGEOSENV01,MRes Environmental Sciences
TMRICHSBMD01,MRes Biomedicine
TMRLIBSAIS01,"MRes Library, Archive and Information Studies"
TMRSPESSLC01,"MRes Speech, Language and Cognition"
TMRTELSING01,MRes Telecommunications
TMSAISSAPP01,MSc Applied Instrumentation
TMSAISSING01,MSc Advanced Instrumentation Systems
TMSANASSUR01,MSc Surgical Science
TMSANTSAED01,MSc Anthropology and Ecology of Development
TMSANTSHEB01,MSc Human Evolution and Behaviour
TMSANTSSOC01,MSc Social Anthropology
TMSARCSPLN01,MSc Planning
TMSARCSSPL01,MSc Spatial Planning
TMSARCSTCP01,MSc Town and Country Planning
TMSARCSTOW01,MSc Town Planning
TMSARLSCAM01,MSc Conservation for Archaeology and Museums
TMSARLSGIS01,MSc GIS and Spatial Analysis in Archaeology
TMSARLSPHS01,MSc The Palaeoecology of Human Societies
TMSARLSSDB01,MSc Skeletal and Dental Bioarchaeology
TMSARLSTAM01,MSc The Tech & Analysis of Archaeol Materials
TMSBIPSIGD01,MSc Bioprocessing (IGDS)
TMSBIPSING01,MSc Bioprocessing
TMSBLTSAAC01,MSc Built Environment : Adaptive Archit & Computn
TMSBLTSAAS01,MSc Built Environment : Advanced Archit Studs
TMSBLTSAHS01,MSc Built Environment : Architectural History
TMSBLTSCEM01,MSc Built Environment : Constrn Econ & Mngmnt
TMSBLTSCRM01,MSc Built Environment : Constrn Refurb Mngmnt
TMSBLTSFEM01,MSc Built Environment : Facility & Env Mngmnt
TMSBLTSHFT01,MSc Built Environment : Housing Futures
TMSBLTSIMP01,MSc Built Environment : Intd Mngmnt Projects
TMSBLTSING01,MSc Built Environment
TMSBLTSLIG01,MSc Built Environment : Light and Lighting
TMSBLTSSUS01,MSc Built Environment : Sustainable Heritage
TMSBOCSAMB01,MSc Applied Molecular Biology and Biotechnology
TMSHUMSCMN01,MSc Human Communication
TMSHYPSCLA01,MSc Clinical and Applied Hypnosis (Modular)
TMSHYPSDEN01,MSc Hypnosis Applied to Dentistry (Modular)
TMSICHSAVM01,MSc Audiovestibular Medicine
TMSICHSCLP01,MSc Clinical Paediatrics
TMSICHSCPH01,MSc Child Public Health
TMSICHSGEN01,MSc Clinical Genetics
TMSICHSICH01,MSc International Child Health
TMSICHSINH01,Euro MSc International Health
TMSICHSMCH01,MSc Mother and Child Health
TMSIFCSCTM01,MSc Clinical Tropical Microbiology
TMSIMMSEND01,MSc Molecular Endocrinology
TMSIMMSMMD01,MSc Molecular Medicine
TMSINFSSCI01,MSc Information Science
TMSIONSCLN01,MSc Clinical Neuroscience
TMSEINSAUS01,MSc Audiological Science
TMSEINSENT01,MSc Audiology for ENT Practice
TMSEINSVOI01,MSc Voice Pathology
TMSMATSMDL01,MSc Mathematical Modelling
TMSMEDSCLT01,MSc Culture and Health
TMSMEDSEDU01,MSc Medical Education
TMSMPHSEUR01,MSc European Medical Physics
TMSNAVSING01,MSc Naval Architecture
TMSNUCSING01,MSc Nuclear Medicine
TMSOBSSPGF01,MSc Prenatal Genetics and Fetal Medicine
TMSOCESSUB01,MSc Ocean and Subsea Engineering
TMSONCSCAN01,MSc Cancer Sciences
TMSONCSRAD01,MSc Radiation Biology
TMSORTSBPC01,MSc Biochemical Pathology of Connective Tissues
TMSORTSING01,MSc Orthopaedics
TMSPBSSAMH01,MSc Ageing and Mental Health
TMSPETSING01,MSc Petroleum Technology
TMSPHHSING01,MSc Physiotherapy
TMSPHLSCLX01,MSc Clinical Exercise
TMSPHLSHPX01,MSc Human Performance under Extreme Conditions
TMSPHYSING01,MSc Physics
TMSBOLSGMM01,MSc General and Medical Microbiology
TMSCENSCPE01,MSc Chemical Process Engineering
TMSCHESRES01,MSc Chemical Research
TMSCHISHIN01,MSc Health Informatics
TMSCHISRSK01,MSc Risk Management
TMSCIVSING01,MSc Civil Engineering
TMSCOMSDCN01,MSc Data Communications Networks & D S
TMSCOMSINF01,MSc Information Security
TMSCOMSINT01,MSc Intelligent Systems
TMSCOMSSSE01,MSc Software Systems Engineering
TMSCOMSVIV01,"MSc Vision, Imaging and Virtual Environments"
TMSDEFSING01,MSc Defence Systems Engineering
TMSDEVSBUD01,MSc Development and Planning: Build & Urb Dd
TMSDEVSDAP01,MSc Development and Planning: Devel Admin
TMSDEVSEPD01,MSc Development and Planning: Euro Prop D&P
